4,1414733263479677
6,1414733263480094
4,1414733263480510
1,1414733263480927
-2,1414733263481344
-1,1414733263481761
-2,1414733263482178
-1,1414733263482594
2,1414733263483011
0,1414733263483428
4,1414733263483844
2,1414733263484261
2,1414733263484678
-1,1414733263485095
3,1414733263485512
6,1414733263485928
6,1414733263486345
-6,1414733263486762
4,1414733263487178
6,1414733263487595
2,1414733263488012
0,1414733263488429
-2,1414733263488846
2,1414733263489262
2,1414733263489679
0,1414733263490096
2,1414733263490512
0,1414733263490929
6,1414733263491346
1,1414733263491763
2,1414733263492180
2,1414733263492596
2,1414733263493013
-4,1414733263493430
2,1414733263493846
2,1414733263494263
4,1414733263494680
6,1414733263495097
-1,1414733263495514
-2,1414733263495930
6,1414733263496347
3,1414733263496764
0,1414733263497180
-2,1414733263497597
3,1414733263498014
4,1414733263498431
4,1414733263498848
6,1414733263499264
2,1414733263499681
-2,1414733263500098
1,1414733263500514
0,1414733263500931
-1,1414733263501348
2,1414733263501765
2,1414733263502182
6,1414733263502598
6,1414733263503015
0,1414733263503432
2,1414733263503848
4,1414733263504265
2,1414733263504682
0,1414733263505099
3,1414733263505516
4,1414733263505932
2,1414733263506349
2,1414733263506766
2,1414733263507182
-6,1414733263507599
-1,1414733263508016
2,1414733263508433
4,1414733263508850
0,1414733263509266
2,1414733263509683
4,1414733263510100
1,1414733263510516
4,1414733263510933
8,1414733263511350
0,1414733263511767
3,1414733263512184
-2,1414733263512600
1,1414733263513017
0,1414733263513434
2,1414733263513850
2,1414733263514267
7,1414733263514684
3,1414733263515101
0,1414733263515518
-2,1414733263515934
0,1414733263516351
-2,1414733263516768
1,1414733263517184
1,1414733263517601
4,1414733263518018
6,1414733263518435
0,1414733263518852
3,1414733263519268
1,1414733263519685
3,1414733263520102
-1,1414733263520518
1,1414733263520935
2,1414733263521352
2,1414733263521769
0,1414733263522186
6,1414733263522602
-8,1414733263523019
2,1414733263523436
-1,1414733263523852
-4,1414733263524269
2,1414733263524686
6,1414733263525103
-1,1414733263525520
-4,1414733263525936
-1,1414733263526353
-1,1414733263526770
6,1414733263527186
6,1414733263527603
1,1414733263528020
-7,1414733263528437
2,1414733263528854
1,1414733263529270
6,1414733263529687
2,1414733263530104
2,1414733263530520
4,1414733263530937
6,1414733263531354
-3,1414733263531771
-1,1414733263532188
3,1414733263532604
4,1414733263533021
-1,1414733263533438
8,1414733263533854
-1,1414733263534271
1,1414733263534688
2,1414733263535105
6,1414733263535522
0,1414733263535938
2,1414733263536355
1,1414733263536772
6,1414733263537188
3,1414733263537605
3,1414733263538022
