sensor_id,packet_id,data,microstamp,device_microstamp
60,1,43.4,1414733261300290,1414733261300290
59,1,-0.165,1414733261630001,1414733261630001
58,1,4,1414733263479677,1414733263479677
58,1,6,1414733263480094,1414733263480094
58,1,4,1414733263480510,1414733263480510
58,1,1,1414733263480927,1414733263480927
58,1,-2,1414733263481344,1414733263481344
58,1,-1,1414733263481761,1414733263481761
58,1,-2,1414733263482178,1414733263482178
58,1,-1,1414733263482594,1414733263482594
58,1,2,1414733263483011,1414733263483011
58,1,0,1414733263483428,1414733263483428
58,1,4,1414733263483844,1414733263483844
58,1,2,1414733263484261,1414733263484261
58,1,2,1414733263484678,1414733263484678
58,1,-1,1414733263485095,1414733263485095
58,1,3,1414733263485512,1414733263485512
58,1,6,1414733263485928,1414733263485928
58,1,6,1414733263486345,1414733263486345
58,1,-6,1414733263486762,1414733263486762
58,1,4,1414733263487178,1414733263487178
58,1,6,1414733263487595,1414733263487595
58,1,2,1414733263488012,1414733263488012
58,1,0,1414733263488429,1414733263488429
58,1,-2,1414733263488846,1414733263488846
58,1,2,1414733263489262,1414733263489262
58,1,2,1414733263489679,1414733263489679
58,1,0,1414733263490096,1414733263490096
58,1,2,1414733263490512,1414733263490512
58,1,0,1414733263490929,1414733263490929
58,1,6,1414733263491346,1414733263491346
58,1,1,1414733263491763,1414733263491763
58,1,2,1414733263492180,1414733263492180
58,1,2,1414733263492596,1414733263492596
58,1,2,1414733263493013,1414733263493013
58,1,-4,1414733263493430,1414733263493430
58,1,2,1414733263493846,1414733263493846
58,1,2,1414733263494263,1414733263494263
58,1,4,1414733263494680,1414733263494680
58,1,6,1414733263495097,1414733263495097
58,1,-1,1414733263495514,1414733263495514
58,1,-2,1414733263495930,1414733263495930
58,1,6,1414733263496347,1414733263496347
58,1,3,1414733263496764,1414733263496764
58,1,0,1414733263497180,1414733263497180
58,1,-2,1414733263497597,1414733263497597
58,1,3,1414733263498014,1414733263498014
58,1,4,1414733263498431,1414733263498431
58,1,4,1414733263498848,1414733263498848
58,1,6,1414733263499264,1414733263499264
58,1,2,1414733263499681,1414733263499681
58,1,-2,1414733263500098,1414733263500098
58,1,1,1414733263500514,1414733263500514
58,1,0,1414733263500931,1414733263500931
58,1,-1,1414733263501348,1414733263501348
58,1,2,1414733263501765,1414733263501765
58,1,2,1414733263502182,1414733263502182
58,1,6,1414733263502598,1414733263502598
58,1,6,1414733263503015,1414733263503015
58,1,0,1414733263503432,1414733263503432
58,1,2,1414733263503848,1414733263503848
58,1,4,1414733263504265,1414733263504265
58,1,2,1414733263504682,1414733263504682
58,1,0,1414733263505099,1414733263505099
58,1,3,1414733263505516,1414733263505516
58,1,4,1414733263505932,1414733263505932
58,1,2,1414733263506349,1414733263506349
58,1,2,1414733263506766,1414733263506766
58,1,2,1414733263507182,1414733263507182
58,1,-6,1414733263507599,1414733263507599
58,1,-1,1414733263508016,1414733263508016
58,1,2,1414733263508433,1414733263508433
58,1,4,1414733263508850,1414733263508850
58,1,0,1414733263509266,1414733263509266
58,1,2,1414733263509683,1414733263509683
58,1,4,1414733263510100,1414733263510100
58,1,1,1414733263510516,1414733263510516
58,1,4,1414733263510933,1414733263510933
58,1,8,1414733263511350,1414733263511350
58,1,0,1414733263511767,1414733263511767
58,1,3,1414733263512184,1414733263512184
58,1,-2,1414733263512600,1414733263512600
58,1,1,1414733263513017,1414733263513017
58,1,0,1414733263513434,1414733263513434
58,1,2,1414733263513850,1414733263513850
58,1,2,1414733263514267,1414733263514267
58,1,7,1414733263514684,1414733263514684
58,1,3,1414733263515101,1414733263515101
58,1,0,1414733263515518,1414733263515518
58,1,-2,1414733263515934,1414733263515934
58,1,0,1414733263516351,1414733263516351
58,1,-2,1414733263516768,1414733263516768
58,1,1,1414733263517184,1414733263517184
58,1,1,1414733263517601,1414733263517601
58,1,4,1414733263518018,1414733263518018
58,1,6,1414733263518435,1414733263518435
58,1,0,1414733263518852,1414733263518852
58,1,3,1414733263519268,1414733263519268
58,1,1,1414733263519685,1414733263519685
58,1,3,1414733263520102,1414733263520102
58,1,-1,1414733263520518,1414733263520518
58,1,1,1414733263520935,1414733263520935
58,1,2,1414733263521352,1414733263521352
58,1,2,1414733263521769,1414733263521769
58,1,0,1414733263522186,1414733263522186
58,1,6,1414733263522602,1414733263522602
58,1,-8,1414733263523019,1414733263523019
58,1,2,1414733263523436,1414733263523436
58,1,-1,1414733263523852,1414733263523852
58,1,-4,1414733263524269,1414733263524269
58,1,2,1414733263524686,1414733263524686
58,1,6,1414733263525103,1414733263525103
58,1,-1,1414733263525520,1414733263525520
58,1,-4,1414733263525936,1414733263525936
58,1,-1,1414733263526353,1414733263526353
58,1,-1,1414733263526770,1414733263526770
58,1,6,1414733263527186,1414733263527186
58,1,6,1414733263527603,1414733263527603
58,1,1,1414733263528020,1414733263528020
58,1,-7,1414733263528437,1414733263528437
58,1,2,1414733263528854,1414733263528854
58,1,1,1414733263529270,1414733263529270
58,1,6,1414733263529687,1414733263529687
58,1,2,1414733263530104,1414733263530104
58,1,2,1414733263530520,1414733263530520
58,1,4,1414733263530937,1414733263530937
58,1,6,1414733263531354,1414733263531354
58,1,-3,1414733263531771,1414733263531771
58,1,-1,1414733263532188,1414733263532188
58,1,3,1414733263532604,1414733263532604
58,1,4,1414733263533021,1414733263533021
58,1,-1,1414733263533438,1414733263533438
58,1,8,1414733263533854,1414733263533854
58,1,-1,1414733263534271,1414733263534271
58,1,1,1414733263534688,1414733263534688
58,1,2,1414733263535105,1414733263535105
58,1,6,1414733263535522,1414733263535522
58,1,0,1414733263535938,1414733263535938
58,1,2,1414733263536355,1414733263536355
58,1,1,1414733263536772,1414733263536772
58,1,6,1414733263537188,1414733263537188
58,1,3,1414733263537605,1414733263537605
58,1,3,1414733263538022,1414733263538022
58,1,-2,1414733263538439,1414733263538439
58,1,-1,1414733263538856,1414733263538856
58,1,6,1414733263539272,1414733263539272
58,1,6,1414733263539689,1414733263539689
58,1,-6,1414733263540106,1414733263540106
58,1,-1,1414733263540522,1414733263540522
58,1,1,1414733263540939,1414733263540939
58,1,-2,1414733263541356,1414733263541356
58,1,-2,1414733263541773,1414733263541773
58,1,6,1414733263542190,1414733263542190
58,1,4,1414733263542606,1414733263542606
58,1,-1,1414733263543023,1414733263543023
58,1,4,1414733263543440,1414733263543440
58,1,4,1414733263543856,1414733263543856
58,1,3,1414733263544273,1414733263544273
58,1,2,1414733263544690,1414733263544690
58,1,-4,1414733263545107,1414733263545107
58,1,1,1414733263545524,1414733263545524
58,1,6,1414733263545940,1414733263545940
58,1,4,1414733263546357,1414733263546357
58,1,0,1414733263546774,1414733263546774
58,1,-1,1414733263547190,1414733263547190
58,1,2,1414733263547607,1414733263547607
58,1,-2,1414733263548024,1414733263548024
58,1,-1,1414733263548441,1414733263548441
58,1,-2,1414733263548858,1414733263548858
58,1,2,1414733263549274,1414733263549274
58,1,-1,1414733263549691,1414733263549691
58,1,6,1414733263550108,1414733263550108
58,1,3,1414733263550524,1414733263550524
58,1,2,1414733263550941,1414733263550941
58,1,2,1414733263551358,1414733263551358
58,1,-2,1414733263551775,1414733263551775
58,1,0,1414733263552192,1414733263552192
58,1,0,1414733263552608,1414733263552608
58,1,2,1414733263553025,1414733263553025
58,1,3,1414733263553442,1414733263553442
58,1,2,1414733263553858,1414733263553858
58,1,6,1414733263554275,1414733263554275
58,1,2,1414733263554692,1414733263554692
58,1,-2,1414733263555109,1414733263555109
58,1,3,1414733263555526,1414733263555526
58,1,8,1414733263555942,1414733263555942
58,1,0,1414733263556359,1414733263556359
58,1,2,1414733263556776,1414733263556776
58,1,4,1414733263557192,1414733263557192
58,1,0,1414733263557609,1414733263557609
58,1,4,1414733263558026,1414733263558026
58,1,-2,1414733263558443,1414733263558443
58,1,4,1414733263558860,1414733263558860
58,1,-1,1414733263559276,1414733263559276
58,1,1,1414733263559693,1414733263559693
58,1,3,1414733263560110,1414733263560110
58,1,6,1414733263560526,1414733263560526
58,1,2,1414733263560943,1414733263560943
58,1,2,1414733263561360,1414733263561360
58,1,4,1414733263561777,1414733263561777
58,1,2,1414733263562194,1414733263562194
58,1,4,1414733263562610,1414733263562610
58,1,-7,1414733263773361,1414733263773361
58,1,-7,1414733263773778,1414733263773778
58,1,-10,1414733263774194,1414733263774194
58,1,-11,1414733263774611,1414733263774611
58,1,-15,1414733263775028,1414733263775028
58,1,-11,1414733263775445,1414733263775445
58,1,-13,1414733263775862,1414733263775862
58,1,-14,1414733263776278,1414733263776278
58,1,-12,1414733263776695,1414733263776695
58,1,-15,1414733263777112,1414733263777112
58,1,-14,1414733263777528,1414733263777528
58,1,-10,1414733263777945,1414733263777945
58,1,-9,1414733263778362,1414733263778362
58,1,-14,1414733263778779,1414733263778779
58,1,-3,1414733263779196,1414733263779196
58,1,1,1414733263779612,1414733263779612
58,1,-1,1414733263780029,1414733263780029
58,1,4,1414733263780446,1414733263780446
58,1,7,1414733263780862,1414733263780862
58,1,13,1414733263781279,1414733263781279
58,1,13,1414733263781696,1414733263781696
58,1,16,1414733263782113,1414733263782113
58,1,17,1414733263782530,1414733263782530
58,1,19,1414733263782946,1414733263782946
58,1,18,1414733263783363,1414733263783363
58,1,17,1414733263783780,1414733263783780
58,1,15,1414733263784196,1414733263784196
58,1,16,1414733263784613,1414733263784613
58,1,17,1414733263785030,1414733263785030
58,1,16,1414733263785447,1414733263785447
58,1,17,1414733263785864,1414733263785864
