sensor_id,packet_id,data,microstamp,device_microstamp
56,3,34.1,1414376867249939,1414376867249939
56,3,34.1,1414376867265539,1414376867265539
56,3,34.1,1414376867278581,1414376867278581
56,3,34.1,1414376867291619,1414376867291619
55,3,-1.485,1414376867305015,1414376867305015
56,3,34.1,1414376867715972,1414376867715972
55,3,-1.485,1414376867726739,1414376867726739
56,3,34.1,1414376870480800,1414376870480800
55,3,-2.475,1414376871838018,1414376871838018
54,3,4,1414376874173929,1414376874173929
54,3,1,1414376874174346,1414376874174346
54,3,1,1414376874174762,1414376874174762
54,3,5,1414376874175179,1414376874175179
54,3,2,1414376874175596,1414376874175596
54,3,1,1414376874176013,1414376874176013
54,3,0,1414376874176430,1414376874176430
54,3,4,1414376874176846,1414376874176846
54,3,4,1414376874177263,1414376874177263
54,3,0,1414376874177680,1414376874177680
54,3,5,1414376874178096,1414376874178096
54,3,1,1414376874178513,1414376874178513
54,3,1,1414376874178930,1414376874178930
54,3,5,1414376874179347,1414376874179347
54,3,-3,1414376874179764,1414376874179764
54,3,5,1414376874180180,1414376874180180
54,3,1,1414376874180597,1414376874180597
54,3,4,1414376874181014,1414376874181014
54,3,-3,1414376874181430,1414376874181430
54,3,-3,1414376874181847,1414376874181847
54,3,-3,1414376874182264,1414376874182264
54,3,0,1414376874182681,1414376874182681
54,3,4,1414376874183098,1414376874183098
54,3,-1,1414376874183514,1414376874183514
54,3,1,1414376874183931,1414376874183931
54,3,6,1414376874184348,1414376874184348
54,3,4,1414376874184764,1414376874184764
54,3,3,1414376874185181,1414376874185181
54,3,5,1414376874185598,1414376874185598
54,3,-7,1414376874186015,1414376874186015
54,3,-1,1414376874186432,1414376874186432
54,3,1,1414376874186848,1414376874186848
54,3,0,1414376874187265,1414376874187265
54,3,3,1414376874187682,1414376874187682
54,3,9,1414376874188098,1414376874188098
54,3,1,1414376874188515,1414376874188515
54,3,0,1414376874188932,1414376874188932
54,3,5,1414376874189349,1414376874189349
54,3,7,1414376874189766,1414376874189766
54,3,7,1414376874190182,1414376874190182
54,3,9,1414376874190599,1414376874190599
54,3,4,1414376874191016,1414376874191016
54,3,-2,1414376874191432,1414376874191432
54,3,9,1414376874191849,1414376874191849
54,3,11,1414376874192266,1414376874192266
54,3,4,1414376874192683,1414376874192683
54,3,4,1414376874193100,1414376874193100
54,3,-1,1414376874193516,1414376874193516
54,3,4,1414376874193933,1414376874193933
54,3,3,1414376874194350,1414376874194350
54,3,1,1414376874194766,1414376874194766
54,3,3,1414376874195183,1414376874195183
54,3,1,1414376874195600,1414376874195600
54,3,1,1414376874196017,1414376874196017
54,3,1,1414376874196434,1414376874196434
54,3,3,1414376874196850,1414376874196850
54,3,-1,1414376874197267,1414376874197267
54,3,-2,1414376874197684,1414376874197684
54,3,5,1414376874198100,1414376874198100
54,3,-2,1414376874198517,1414376874198517
54,3,3,1414376874198934,1414376874198934
54,3,-3,1414376874199351,1414376874199351
54,3,-3,1414376874199768,1414376874199768
54,3,0,1414376874200184,1414376874200184
54,3,3,1414376874200601,1414376874200601
54,3,4,1414376874201018,1414376874201018
54,3,-1,1414376874201434,1414376874201434
54,3,-1,1414376874201851,1414376874201851
54,3,0,1414376874202268,1414376874202268
54,3,-1,1414376874202685,1414376874202685
54,3,-4,1414376874203102,1414376874203102
54,3,1,1414376874203518,1414376874203518
54,3,1,1414376874203935,1414376874203935
54,3,1,1414376874204352,1414376874204352
54,3,5,1414376874204768,1414376874204768
54,3,9,1414376874205185,1414376874205185
54,3,0,1414376874205602,1414376874205602
