16	31.2	1411167106653364	1411167106653364
15	6.6	1411167107747916	1411167107747916
14	-6	1411167108931787	1411167108931787
14	1	1411167108932204	1411167108932204
14	-2	1411167108932620	1411167108932620
14	-7	1411167108933037	1411167108933037
14	5	1411167108933454	1411167108933454
14	-7	1411167108933871	1411167108933871
14	-2	1411167108934288	1411167108934288
14	1	1411167108934704	1411167108934704
14	2	1411167108935121	1411167108935121
14	2	1411167108935538	1411167108935538
14	-5	1411167108935954	1411167108935954
14	-4	1411167108936371	1411167108936371
14	0	1411167108936788	1411167108936788
14	3	1411167108937205	1411167108937205
14	12	1411167108937622	1411167108937622
14	4	1411167108938038	1411167108938038
14	1	1411167108938455	1411167108938455
14	6	1411167108938872	1411167108938872
14	5	1411167108939288	1411167108939288
14	6	1411167108939705	1411167108939705
14	4	1411167108940122	1411167108940122
14	8	1411167108940539	1411167108940539
14	2	1411167108940956	1411167108940956
14	7	1411167108941372	1411167108941372
14	3	1411167108941789	1411167108941789
14	13	1411167108942206	1411167108942206
14	5	1411167108942622	1411167108942622
14	4	1411167108943039	1411167108943039
14	-4	1411167108943456	1411167108943456
14	0	1411167108943873	1411167108943873
14	5	1411167108944290	1411167108944290
14	3	1411167108944706	1411167108944706
14	-4	1411167108945123	1411167108945123
14	1	1411167108945540	1411167108945540
14	1	1411167108945956	1411167108945956
14	0	1411167108946373	1411167108946373
14	-6	1411167108946790	1411167108946790
14	2	1411167108947207	1411167108947207
14	4	1411167108947624	1411167108947624
14	0	1411167108948040	1411167108948040
14	-4	1411167108948457	1411167108948457
14	-4	1411167108948874	1411167108948874
14	1	1411167108949290	1411167108949290
14	0	1411167108949707	1411167108949707
14	3	1411167108950124	1411167108950124
14	-4	1411167108950541	1411167108950541
14	-2	1411167108950958	1411167108950958
14	6	1411167108951374	1411167108951374
14	2	1411167108951791	1411167108951791
14	2	1411167108952208	1411167108952208
14	-6	1411167108952624	1411167108952624
14	0	1411167108953041	1411167108953041
14	0	1411167108953458	1411167108953458
14	1	1411167108953875	1411167108953875
14	4	1411167108954292	1411167108954292
14	6	1411167108954708	1411167108954708
14	2	1411167108955125	1411167108955125
14	-6	1411167108955542	1411167108955542
14	5	1411167108955958	1411167108955958
