sensor_id,data,microstamp,device_microstamp
52,39.3,1416287593087726,1416287593087726
51,74.91,1416287594189411,1416287594189411
52,39.4,1416287598085276,1416287598085276
51,74.91,1416287599165952,1416287599165952
50,32,1416287602123057,1416287602123057
50,37,1416287602123474,1416287602123474
50,29,1416287602123890,1416287602123890
50,23,1416287602124307,1416287602124307
50,25,1416287602124724,1416287602124724
50,23,1416287602125141,1416287602125141
50,21,1416287602125558,1416287602125558
50,22,1416287602125974,1416287602125974
50,18,1416287602126391,1416287602126391
50,12,1416287602126808,1416287602126808
50,12,1416287602127224,1416287602127224
50,10,1416287602127641,1416287602127641
50,8,1416287602128058,1416287602128058
50,0,1416287602128475,1416287602128475
50,-4,1416287602128892,1416287602128892
50,-10,1416287602129308,1416287602129308
50,-13,1416287602129725,1416287602129725
50,-17,1416287602130142,1416287602130142
50,-21,1416287602130558,1416287602130558
50,-25,1416287602130975,1416287602130975
50,-28,1416287602131392,1416287602131392
50,-25,1416287602131809,1416287602131809
50,-30,1416287602132226,1416287602132226
50,-22,1416287602132642,1416287602132642
50,-20,1416287602133059,1416287602133059
50,-24,1416287602133476,1416287602133476
50,-28,1416287602133892,1416287602133892
50,-21,1416287602134309,1416287602134309
50,-16,1416287602134726,1416287602134726
50,-14,1416287602135143,1416287602135143
50,-7,1416287602135560,1416287602135560
50,0,1416287602135976,1416287602135976
50,2,1416287602136393,1416287602136393
50,2,1416287602136810,1416287602136810
50,5,1416287602137226,1416287602137226
50,12,1416287602137643,1416287602137643
50,13,1416287602138060,1416287602138060
50,19,1416287602138477,1416287602138477
50,24,1416287602138894,1416287602138894
50,26,1416287602139310,1416287602139310
50,31,1416287602139727,1416287602139727
50,33,1416287602140144,1416287602140144
50,36,1416287602140560,1416287602140560
50,25,1416287602140977,1416287602140977
50,32,1416287602141394,1416287602141394
50,20,1416287602141811,1416287602141811
50,28,1416287602142228,1416287602142228
50,23,1416287602142644,1416287602142644
50,22,1416287602143061,1416287602143061
50,18,1416287602143478,1416287602143478
50,12,1416287602143894,1416287602143894
50,6,1416287602144311,1416287602144311
50,3,1416287602144728,1416287602144728
50,1,1416287602145145,1416287602145145
50,-2,1416287602145562,1416287602145562
50,-14,1416287602145978,1416287602145978
50,-18,1416287602146395,1416287602146395
50,-18,1416287602146812,1416287602146812
50,-17,1416287602147228,1416287602147228
50,-22,1416287602147645,1416287602147645
50,-27,1416287602148062,1416287602148062
50,-30,1416287602148479,1416287602148479
50,-27,1416287602148896,1416287602148896
50,-29,1416287602149312,1416287602149312
50,-22,1416287602149729,1416287602149729
50,-27,1416287602150146,1416287602150146
50,-20,1416287602150562,1416287602150562
50,-21,1416287602150979,1416287602150979
50,-14,1416287602151396,1416287602151396
50,-10,1416287602151813,1416287602151813
50,-9,1416287602152230,1416287602152230
50,-7,1416287602152646,1416287602152646
50,-3,1416287602153063,1416287602153063
50,3,1416287602153480,1416287602153480
50,4,1416287602153896,1416287602153896
50,11,1416287602154313,1416287602154313
50,17,1416287602154730,1416287602154730
50,24,1416287602155147,1416287602155147
50,20,1416287602155564,1416287602155564
50,29,1416287602155980,1416287602155980
50,23,1416287602156397,1416287602156397
50,32,1416287602156814,1416287602156814
50,29,1416287602157230,1416287602157230
50,33,1416287602157647,1416287602157647
50,25,1416287602158064,1416287602158064
50,24,1416287602158481,1416287602158481
50,28,1416287602158898,1416287602158898
50,30,1416287602159314,1416287602159314
50,18,1416287602159731,1416287602159731
50,18,1416287602160148,1416287602160148
50,13,1416287602160564,1416287602160564
50,5,1416287602160981,1416287602160981
50,2,1416287602161398,1416287602161398
50,2,1416287602161815,1416287602161815
50,-9,1416287602162232,1416287602162232
50,-10,1416287602162648,1416287602162648
50,-13,1416287602163065,1416287602163065
50,-14,1416287602163482,1416287602163482
50,-18,1416287602163898,1416287602163898
50,-21,1416287602164315,1416287602164315
50,-23,1416287602164732,1416287602164732
50,-28,1416287602165149,1416287602165149
50,-25,1416287602165566,1416287602165566
50,-20,1416287602165982,1416287602165982
50,-24,1416287602166399,1416287602166399
50,-24,1416287602166816,1416287602166816
50,-19,1416287602167232,1416287602167232
50,-19,1416287602167649,1416287602167649
50,-15,1416287602168066,1416287602168066
50,-10,1416287602168483,1416287602168483
50,-7,1416287602168900,1416287602168900
50,-7,1416287602169316,1416287602169316
50,1,1416287602169733,1416287602169733
50,9,1416287602170150,1416287602170150
50,6,1416287602170566,1416287602170566
50,14,1416287602170983,1416287602170983
50,18,1416287602171400,1416287602171400
50,19,1416287602171817,1416287602171817
50,21,1416287602172234,1416287602172234
50,27,1416287602172650,1416287602172650
50,29,1416287602173067,1416287602173067
50,34,1416287602173484,1416287602173484
50,32,1416287602173900,1416287602173900
50,30,1416287602174317,1416287602174317
50,28,1416287602174734,1416287602174734
50,28,1416287602175151,1416287602175151
50,25,1416287602175568,1416287602175568
50,22,1416287602175984,1416287602175984
50,19,1416287602176401,1416287602176401
50,20,1416287602176818,1416287602176818
50,10,1416287602177234,1416287602177234
50,5,1416287602177651,1416287602177651
50,6,1416287602178068,1416287602178068
50,2,1416287602178485,1416287602178485
50,2,1416287602178902,1416287602178902
50,-9,1416287602179318,1416287602179318
50,-14,1416287602179735,1416287602179735
50,-16,1416287602180152,1416287602180152
50,-22,1416287602180568,1416287602180568
50,-27,1416287602180985,1416287602180985
50,-27,1416287602181402,1416287602181402
50,-22,1416287602181819,1416287602181819
50,-30,1416287602182236,1416287602182236
50,-24,1416287602182652,1416287602182652
50,-29,1416287602183069,1416287602183069
50,-23,1416287602183486,1416287602183486
50,-23,1416287602183902,1416287602183902
50,-20,1416287602184319,1416287602184319
50,-22,1416287602184736,1416287602184736
50,-14,1416287602185153,1416287602185153
50,-6,1416287602185570,1416287602185570
50,-3,1416287602185986,1416287602185986
50,3,1416287602186403,1416287602186403
50,3,1416287602186820,1416287602186820
50,8,1416287602187236,1416287602187236
50,15,1416287602187653,1416287602187653
50,23,1416287602188070,1416287602188070
50,22,1416287602188487,1416287602188487
50,24,1416287602188904,1416287602188904
50,26,1416287602189320,1416287602189320
50,25,1416287602189737,1416287602189737
50,29,1416287602190154,1416287602190154
50,29,1416287602190570,1416287602190570
50,27,1416287602190987,1416287602190987
50,30,1416287602191404,1416287602191404
50,25,1416287602191821,1416287602191821
50,30,1416287602192238,1416287602192238
50,27,1416287602192654,1416287602192654
50,19,1416287602193071,1416287602193071
50,17,1416287602193488,1416287602193488
50,12,1416287602193904,1416287602193904
50,6,1416287602194321,1416287602194321
50,-2,1416287602194738,1416287602194738
50,-8,1416287602195155,1416287602195155
50,-5,1416287602195572,1416287602195572
50,-9,1416287602195988,1416287602195988
50,-10,1416287602196405,1416287602196405
50,-22,1416287602196822,1416287602196822
50,-22,1416287602197238,1416287602197238
50,-22,1416287602197655,1416287602197655
50,-22,1416287602198072,1416287602198072
50,-25,1416287602198489,1416287602198489
50,-27,1416287602198906,1416287602198906
50,-26,1416287602199322,1416287602199322
50,-26,1416287602199739,1416287602199739
50,-24,1416287602200156,1416287602200156
50,-20,1416287602200572,1416287602200572
50,-22,1416287602200989,1416287602200989
50,-20,1416287602201406,1416287602201406
50,-12,1416287602201823,1416287602201823
50,-7,1416287602202240,1416287602202240
50,-2,1416287602202656,1416287602202656
50,1,1416287602203073,1416287602203073
50,5,1416287602203490,1416287602203490
50,7,1416287602203906,1416287602203906
50,16,1416287602204323,1416287602204323
50,18,1416287602204740,1416287602204740
50,18,1416287602205157,1416287602205157
50,22,1416287602205574,1416287602205574
50,28,1416287602205990,1416287602205990
50,2,1416287602440788,1416287602440788
50,4,1416287602441205,1416287602441205
50,2,1416287602441622,1416287602441622
50,-6,1416287602442038,1416287602442038
50,2,1416287602442455,1416287602442455
50,6,1416287602442872,1416287602442872
50,-1,1416287602443288,1416287602443288
50,4,1416287602443705,1416287602443705
50,-1,1416287602444122,1416287602444122
50,3,1416287602444539,1416287602444539
50,2,1416287602444956,1416287602444956
50,-2,1416287602445372,1416287602445372
50,-1,1416287602445789,1416287602445789
50,-3,1416287602446206,1416287602446206
50,3,1416287602446622,1416287602446622
50,2,1416287602447039,1416287602447039
50,1,1416287602447456,1416287602447456
50,6,1416287602447873,1416287602447873
50,3,1416287602448290,1416287602448290
50,2,1416287602448706,1416287602448706
50,0,1416287602449123,1416287602449123
50,-2,1416287602449540,1416287602449540
50,-1,1416287602449956,1416287602449956
50,1,1416287602450373,1416287602450373
50,1,1416287602450790,1416287602450790
50,-1,1416287602451207,1416287602451207
50,2,1416287602451624,1416287602451624
50,-2,1416287602452040,1416287602452040
50,3,1416287602452457,1416287602452457
50,-3,1416287602452874,1416287602452874
50,2,1416287602453290,1416287602453290
50,-3,1416287602453707,1416287602453707
50,-2,1416287602454124,1416287602454124
50,2,1416287602454541,1416287602454541
50,-5,1416287602454958,1416287602454958
50,-4,1416287602455374,1416287602455374
50,-3,1416287602455791,1416287602455791
50,6,1416287602456208,1416287602456208
50,3,1416287602456624,1416287602456624
50,-1,1416287602457041,1416287602457041
50,-3,1416287602457458,1416287602457458
50,3,1416287602457875,1416287602457875
50,4,1416287602458292,1416287602458292
50,2,1416287602458708,1416287602458708
50,-1,1416287602459125,1416287602459125
50,7,1416287602459542,1416287602459542
50,4,1416287602459958,1416287602459958
50,2,1416287602460375,1416287602460375
50,7,1416287602460792,1416287602460792
50,6,1416287602461209,1416287602461209
50,3,1416287602461626,1416287602461626
50,2,1416287602462042,1416287602462042
50,1,1416287602462459,1416287602462459
50,2,1416287602462876,1416287602462876
50,7,1416287602463292,1416287602463292
50,3,1416287602463709,1416287602463709
50,3,1416287602464126,1416287602464126
50,2,1416287602464543,1416287602464543
50,3,1416287602464960,1416287602464960
50,-2,1416287602465376,1416287602465376
50,-2,1416287602465793,1416287602465793
50,-1,1416287602466210,1416287602466210
50,6,1416287602466626,1416287602466626
50,2,1416287602467043,1416287602467043
50,3,1416287602467460,1416287602467460
50,-4,1416287602467877,1416287602467877
50,6,1416287602468294,1416287602468294
50,-3,1416287602468710,1416287602468710
50,-5,1416287602469127,1416287602469127
50,3,1416287602469544,1416287602469544
50,3,1416287602469960,1416287602469960
50,-2,1416287602470377,1416287602470377
50,7,1416287602470794,1416287602470794
50,0,1416287602471211,1416287602471211
50,-4,1416287602471628,1416287602471628
50,3,1416287602472044,1416287602472044
50,2,1416287602472461,1416287602472461
